soil_type,state,moisture_percent,time,pump_state,,,,,,
sand,wet,1000,00:21:47,0,,,,,,
sand,wet,950,00:22:47,1,,,,,,
sand,wet,235,00:23:47,0,,,,,,
sand,wet,234,00:24:47,0,,,,,,
sand,wet,238,00:25:47,0,,,,,,
sand,wet,239,00:26:47,0,,,,,,
sand,wet,240,00:27:47,0,,,,,,
sand,wet,240,00:28:47,0,,,,,,
sand,wet,242,00:29:47,0,,,,,,
sand,wet,634,00:30:47,0,,,,,,
sand,wet,243,00:31:47,0,,,,,,
sand,wet,224,00:32:47,0,,,,,,
sand,wet,225,00:33:47,0,,,,,,
sand,wet,227,00:34:47,0,,,,,,
sand,wet,227,00:35:48,0,,,,,,
sand,wet,227,00:36:48,0,,,,,,
sand,wet,233,00:37:48,0,,,,,,
sand,wet,256,00:38:48,0,,,,,,
sand,wet,244,00:39:48,0,,,,,,
sand,wet,217,00:40:48,0,,,,,,
sand,wet,224,00:44:48,0,,,,,,
sand,wet,225,00:45:48,0,,,,,,
sand,wet,229,00:46:48,0,,,,,,
sand,wet,234,00:47:48,0,,,,,,
sand,wet,238,00:48:48,0,,,,,,
sand,wet,239,00:49:48,0,,,,,,
sand,wet,237,00:50:48,0,,,,,,
sand,wet,235,00:51:48,0,,,,,,
sand,wet,235,00:52:48,0,,,,,,
sand,wet,235,00:53:48,0,,,,,,
sand,wet,234,00:54:48,0,,,,,,
sand,wet,234,00:55:48,0,,,,,,
sand,wet,235,00:56:48,0,,,,,,
sand,wet,235,00:57:48,0,,,,,,
sand,wet,235,00:58:48,0,,,,,,
sand,wet,235,00:59:48,0,,,,,,
sand,wet,229,01:00:48,0,,,,,,
sand,wet,224,01:01:48,0,,,,,,
sand,wet,226,01:02:48,0,,,,,,
sand,wet,226,01:03:48,0,,,,,,
sand,wet,227,01:04:48,0,,,,,,
sand,wet,225,01:05:48,0,,,,,,
sand,wet,225,01:06:48,0,,,,,,
sand,wet,224,01:07:48,0,,,,,,
sand,wet,226,01:08:48,0,,,,,,
sand,wet,226,01:09:48,0,,,,,,
sand,wet,224,01:10:48,0,,,,,,
sand,wet,223,01:11:48,0,,,,,,
sand,wet,224,01:12:48,0,,,,,,
sand,wet,225,01:13:48,0,,,,,,
sand,wet,226,01:14:48,0,,,,,,
sand,wet,227,01:15:48,0,,,,,,
sand,wet,227,01:16:48,0,,,,,,
sand,wet,225,01:17:48,0,,,,,,
sand,wet,224,01:18:48,0,,,,,,
sand,wet,226,01:19:49,0,,,,,,
sand,wet,227,01:20:49,0,,,,,,
sand,wet,227,01:21:49,0,,,,,,
sand,wet,225,01:22:49,0,,,,,,
sand,wet,226,01:23:49,0,,,,,,
sand,wet,225,01:24:49,0,,,,,,
sand,wet,226,01:25:49,0,,,,,,
sand,wet,227,01:26:49,0,,,,,,
sand,wet,225,01:27:49,0,,,,,,
sand,wet,225,01:28:49,0,,,,,,
sand,wet,225,01:29:49,0,,,,,,
sand,wet,226,01:30:49,0,,,,,,
sand,wet,228,01:31:49,0,,,,,,
sand,wet,227,01:32:49,0,,,,,,
sand,wet,224,01:33:49,0,,,,,,
sand,wet,225,01:34:49,0,,,,,,
sand,wet,226,01:35:49,0,,,,,,
sand,wet,227,01:36:49,0,,,,,,
sand,wet,227,01:37:49,0,,,,,,
sand,wet,227,01:38:49,0,,,,,,
sand,wet,229,01:39:49,0,,,,,,
sand,wet,225,01:40:49,0,,,,,,
