state,moisture_percent,time,pump_state,LDR
wet,1000,00:21:47,0,120
wet,950,00:22:47,1,130
wet,235,00:23:47,0,121
wet,234,00:24:47,0,137
wet,238,00:25:47,0,143
wet,239,00:26:47,0,105
wet,240,00:27:47,0,147
wet,240,00:28:47,0,144
wet,242,00:29:47,0,141
wet,634,00:30:47,0,57
wet,243,00:31:47,0,138
wet,224,00:32:47,0,144
wet,225,00:33:47,0,132
wet,227,00:34:47,0,65
wet,227,00:35:48,0,134
wet,227,00:36:48,0,99
wet,233,00:37:48,0,133
wet,256,00:38:48,0,70
wet,244,00:39:48,0,144
wet,217,00:40:48,0,149
dry,224,00:44:48,0,144
dry,225,00:45:48,0,74
dry,229,00:46:48,0,75
dry,234,00:47:48,0,129
dry,238,00:48:48,0,128
dry,239,00:49:48,0,118
dry,237,00:50:48,0,81
dry,235,00:51:48,0,73
dry,235,00:52:48,0,64
dry,235,00:53:48,0,53
dry,234,00:54:48,0,101
dry,234,00:55:48,0,118
dry,235,00:56:48,0,95
dry,235,00:57:48,0,79
dry,235,00:58:48,0,71
dry,235,00:59:48,0,58
dry,229,01:00:48,0,124
dry,224,01:01:48,0,69
dry,226,01:02:48,0,127
dry,226,01:03:48,0,96
dry,227,01:04:48,0,81
dry,225,01:05:48,0,63
dry,225,01:06:48,0,138
dry,224,01:07:48,0,125
dry,226,01:08:48,0,95
dry,226,01:09:48,0,118
dry,224,01:10:48,0,54
dry,223,01:11:48,0,58
dry,224,01:12:48,0,123
dry,225,01:13:48,0,129
dry,226,01:14:48,0,71
dry,227,01:15:48,0,100
dry,227,01:16:48,0,50
dry,225,01:17:48,0,133
dry,224,01:18:48,0,64
dry,226,01:19:49,0,61
dry,227,01:20:49,0,140
dry,227,01:21:49,0,59
dry,225,01:22:49,0,87
dry,226,01:23:49,0,103
dry,225,01:24:49,0,97
dry,226,01:25:49,0,110
dry,227,01:26:49,0,102
dry,225,01:27:49,0,94
dry,225,01:28:49,0,121
dry,225,01:29:49,0,66
dry,226,01:30:49,0,116
dry,228,01:31:49,0,0
dry,227,01:32:49,0,124
dry,224,01:33:49,0,70
dry,225,01:34:49,0,119
dry,226,01:35:49,0,61
dry,227,01:36:49,0,81
dry,227,01:37:49,0,78
dry,227,01:38:49,0,98
dry,229,01:39:49,0,9999
dry,225,01:40:49,0,91
dry,225,01:41:49,0,78
dry,225,01:42:49,0,147
dry,226,01:43:49,0,100
dry,227,01:44:49,0,99
dry,225,01:45:49,0,132
dry,224,01:46:49,0,89
dry,225,01:47:49,0,114
dry,227,01:48:49,0,134
dry,226,01:49:49,0,101
dry,228,01:50:49,0,74
dry,223,01:51:49,0,92
dry,223,01:52:49,0,116
dry,225,01:53:49,0,132
dry,225,01:54:49,0,86
dry,227,01:55:49,0,145
dry,224,01:56:49,0,112
dry,224,01:57:49,0,93
dry,226,01:58:49,0,58
dry,226,01:59:49,0,118
dry,226,02:00:49,0,129
dry,226,02:01:49,0,127
dry,224,02:02:49,0,106
dry,224,02:03:50,0,72
dry,224,02:04:50,0,75
dry,226,02:05:50,0,84
dry,227,02:06:50,0,77
dry,224,02:07:50,0,62
dry,224,02:08:50,0,140
dry,223,02:09:50,0,120
dry,225,02:10:50,0,111
dry,227,02:11:50,0,118
dry,228,02:12:50,0,58
dry,224,02:13:50,0,130
dry,226,02:14:50,0,93
dry,226,02:15:50,0,100
dry,225,02:16:50,0,54
dry,227,02:17:50,0,150
dry,224,02:18:50,0,58
dry,223,02:19:50,0,-10
dry,224,02:20:50,0,128
dry,225,02:21:50,0,104
dry,224,02:22:50,0,148
dry,223,02:23:50,0,0
dry,222,02:24:50,0,63
dry,223,02:25:50,0,72
dry,224,02:26:50,0,79
dry,225,02:27:50,0,148
dry,223,02:28:50,0,122
dry,224,02:29:50,0,86
dry,224,02:30:50,0,137
dry,226,02:31:50,0,88
dry,226,02:32:50,0,131
dry,223,02:33:50,0,149
dry,222,02:34:50,0,92
dry,222,02:35:50,0,71
dry,223,02:36:50,0,116
dry,225,02:37:50,0,78
dry,226,02:38:50,0,85
dry,223,02:39:50,0,56
dry,223,02:40:50,0,74
dry,223,02:41:50,0,80
dry,225,02:42:50,0,144
dry,223,02:43:50,0,9999
dry,222,02:44:50,0,130
dry,223,02:45:50,0,143
dry,226,02:46:50,0,137
dry,226,02:47:51,0,146
dry,226,02:48:51,0,116
dry,222,02:49:51,0,54
dry,223,02:50:51,0,103
dry,223,02:51:51,0,131
dry,224,02:52:51,0,107
dry,223,02:53:51,0,59
dry,222,02:54:51,0,147
dry,221,02:55:51,0,56
dry,222,02:56:51,0,138
dry,223,02:57:51,0,105
dry,223,02:58:51,0,63
dry,220,02:59:51,0,124
dry,221,03:00:51,0,57
dry,222,03:01:51,0,83
dry,222,03:02:51,0,139
dry,221,03:03:51,0,88
dry,221,03:04:51,0,138
dry,221,03:05:51,0,120
dry,221,03:06:51,0,116
dry,224,03:07:51,0,54
dry,222,03:08:51,0,133
